,location,total_sqft,bath,size_BHK,price
1,1st Phase JP Nagar,1875.0,3.0,3,167.0
2,1st Phase JP Nagar,1500.0,5.0,5,85.0
3,1st Phase JP Nagar,2065.0,4.0,3,210.0
5,1st Phase JP Nagar,2059.0,3.0,3,225.0
6,1st Phase JP Nagar,1394.0,2.0,2,100.0
7,1st Phase JP Nagar,1077.0,2.0,2,93.0
8,1st Phase JP Nagar,1566.0,2.0,2,180.0
9,1st Phase JP Nagar,840.0,2.0,1,50.0
10,1st Phase JP Nagar,1590.0,3.0,3,131.0
11,1st Phase JP Nagar,2180.0,3.0,3,210.0
12,1st Phase JP Nagar,1180.0,2.0,2,88.5
13,1st Phase JP Nagar,1200.0,2.0,2,86.0
14,1st Phase JP Nagar,1394.0,2.0,2,85.0
15,1st Phase JP Nagar,2077.0,3.0,3,175.0
17,1st Phase JP Nagar,1205.0,2.0,2,85.0
19,1st Phase JP Nagar,900.0,2.0,2,75.0
20,2nd Stage Nagarbhavi,1500.0,4.0,4,220.0
21,2nd Stage Nagarbhavi,3000.0,8.0,6,451.0
22,2nd Stage Nagarbhavi,2400.0,8.0,6,450.0
23,2nd Stage Nagarbhavi,1350.0,4.0,4,200.0
24,2nd Stage Nagarbhavi,1200.0,4.0,4,225.0
25,2nd Stage Nagarbhavi,1500.0,3.0,4,230.0
26,5th Phase JP Nagar,1075.0,2.0,2,60.0
27,5th Phase JP Nagar,1150.0,3.0,2,52.5
28,5th Phase JP Nagar,1256.0,2.0,2,62.8
29,5th Phase JP Nagar,1207.0,2.0,2,63.0
30,5th Phase JP Nagar,1725.0,2.0,3,100.0
31,5th Phase JP Nagar,1440.0,2.0,2,60.0
32,5th Phase JP Nagar,1700.0,2.0,3,100.0
34,5th Phase JP Nagar,2500.0,5.0,5,110.0
35,5th Phase JP Nagar,600.0,1.0,1,30.0
36,5th Phase JP Nagar,1390.0,2.0,2,65.0
37,5th Phase JP Nagar,1256.0,2.0,2,62.8
38,5th Phase JP Nagar,1000.0,2.0,2,48.0
39,5th Phase JP Nagar,1350.0,2.0,3,75.0
40,5th Phase JP Nagar,552.0,1.0,1,23.5
41,5th Phase JP Nagar,1200.0,2.0,2,51.0
45,5th Phase JP Nagar,1030.0,2.0,2,57.0
46,5th Phase JP Nagar,1200.0,2.0,2,68.0
47,5th Phase JP Nagar,1190.0,2.0,2,61.8
48,5th Phase JP Nagar,4000.0,5.0,5,170.0
49,5th Phase JP Nagar,1080.0,2.0,2,53.0
50,5th Phase JP Nagar,1041.0,2.0,2,54.0
51,5th Phase JP Nagar,812.0,2.0,2,42.0
52,5th Phase JP Nagar,1010.0,2.0,2,57.0
54,5th Phase JP Nagar,1075.0,2.0,2,60.0
55,6th Phase JP Nagar,1192.0,2.0,2,74.0
56,6th Phase JP Nagar,1180.0,2.0,2,80.0
57,6th Phase JP Nagar,3245.0,4.0,4,250.0
58,6th Phase JP Nagar,1645.0,3.0,3,100.0
59,6th Phase JP Nagar,1140.0,2.0,2,65.0
60,6th Phase JP Nagar,2040.0,3.0,3,200.0
61,6th Phase JP Nagar,1213.0,2.0,2,63.0
62,6th Phase JP Nagar,1216.0,2.0,2,60.0
63,6th Phase JP Nagar,1460.0,2.0,2,80.0
64,6th Phase JP Nagar,2003.0,3.0,3,200.0
65,6th Phase JP Nagar,1810.0,3.0,3,131.0
66,6th Phase JP Nagar,1515.0,2.0,3,135.0
67,6th Phase JP Nagar,1192.0,2.0,2,75.0
68,6th Phase JP Nagar,1280.0,2.0,2,88.0
69,7th Phase JP Nagar,1080.0,2.0,2,72.0
70,7th Phase JP Nagar,1270.0,2.0,2,93.0
71,7th Phase JP Nagar,1420.0,2.0,3,100.0
72,7th Phase JP Nagar,1850.0,3.0,3,150.0
73,7th Phase JP Nagar,1245.0,2.0,2,94.0
74,7th Phase JP Nagar,1175.0,2.0,2,82.0
75,7th Phase JP Nagar,1400.0,2.0,3,95.0
76,7th Phase JP Nagar,2225.0,3.0,3,160.0
77,7th Phase JP Nagar,1050.0,2.0,2,71.0
78,7th Phase JP Nagar,1100.0,2.0,2,46.0
79,7th Phase JP Nagar,918.0,2.0,2,50.49
80,7th Phase JP Nagar,1450.0,2.0,3,100.0
81,7th Phase JP Nagar,1190.0,2.0,2,49.98
82,7th Phase JP Nagar,1420.0,2.0,3,96.0
83,7th Phase JP Nagar,1680.0,3.0,3,120.0
84,7th Phase JP Nagar,980.0,2.0,2,69.0
85,7th Phase JP Nagar,1180.0,2.0,2,72.0
89,7th Phase JP Nagar,1400.0,3.0,3,115.0
90,7th Phase JP Nagar,1270.0,2.0,2,83.0
92,7th Phase JP Nagar,2503.0,4.0,4,188.0
93,7th Phase JP Nagar,2200.0,3.0,3,190.0
96,7th Phase JP Nagar,1575.0,2.0,3,110.0
97,7th Phase JP Nagar,1850.0,3.0,3,140.0
98,7th Phase JP Nagar,1575.0,2.0,3,120.0
99,7th Phase JP Nagar,1850.0,3.0,3,150.0
